country_iso3,gco_country,who_region,income_label,dirac_matched,unit_pressure_rank,selected_site_cases_per_mv_unit_2050,high_growth_q75,lower_quartile_unit_density,acceleration_risk,selected_site_cases_2024,selected_site_cases_2050,selected_site_case_increase_2050,selected_site_relative_case_growth_2050,mv_therapy_units,mv_units_per_1000_selected_site_cases_2050
TKM,Turkmenistan,EURO,Upper middle income,1,55.0,1160.4285714285713,0,0,0,4062.0,8123.0,4061.0,0.9997538158542588,7.0,0.8617505847593254
UGA,Uganda,AFRO,Low income,1,13.0,9389.0,1,1,1,15507.0,46945.0,31438.0,2.0273424904881665,5.0,0.1065076152944935
UKR,Ukraine,EURO,Lower middle income,1,59.0,1141.054794520548,0,0,0,75657.0,83297.0,7640.0,0.1009820637878848,73.0,0.8763821025967322
MKD,North Macedonia,EURO,Upper middle income,1,56.0,1159.75,0,0,0,4317.0,4639.0,322.0,0.0745888348390085,4.0,0.8622547962923044
EGY,Egypt,EMRO,Lower middle income,1,64.0,1043.1652173913044,0,0,0,59636.0,119964.0,60328.0,1.0116037292910325,115.0,0.958620919609216
GBR,United Kingdom,EURO,High income,1,80.0,816.2625698324023,0,0,0,225837.0,292222.0,66385.0,0.293950946921895,358.0,1.225095988666151
TZA,"Tanzania, United Republic of",AFRO,Lower middle income,1,29.0,4054.909090909091,1,1,1,16916.0,44604.0,27688.0,1.6367935682194372,11.0,0.2466146533943144
USA,United States of America,PAHO,High income,1,144.0,357.63930220625963,0,0,0,1070963.0,1394078.0,323115.0,0.3017051009231878,3898.0,2.796113273432333
BFA,Burkina Faso,AFRO,Low income,1,15.0,8987.0,1,1,1,7191.0,17974.0,10783.0,1.4995132804895008,2.0,0.1112718370980304
URY,Uruguay,PAHO,High income,1,135.0,413.4,0,0,0,7800.0,10335.0,2535.0,0.325,25.0,2.418964683115626
UZB,Uzbekistan,EURO,Lower middle income,1,40.0,1858.4,0,0,0,19419.0,37168.0,17749.0,0.9140017508625572,20.0,0.5380972879896685
