country_iso3,country,who_region,income_label,gco2022_selected_cases_2022,gco2022_selected_cases_2050,gco2022_selected_growth_2022_2050,gco2022_growth_percentile,gco2022_mv_per_1000_selected_cases_2050,selected_site_cases_2024,selected_site_cases_2050,selected_site_relative_case_growth_2050,gco2024_growth_percentile_common,mv_units_per_1000_selected_site_cases_2050,gco2022_screen_positive,current_screen_positive,burden_version_transition
IRN,"Iran, Islamic Republic of",EMRO,Lower middle income,59233.0,135670.0,1.290446203974136,73.15436241610739,0.8992408048942286,69616.0,147049.0,1.1122874051942082,71.81208053691275,0.8296554209821216,False,False,Not screen-positive in either version
IRQ,Iraq,EMRO,Upper middle income,18229.0,52043.0,1.8549563881726918,93.28859060402685,1.0952481601752397,16997.0,42972.0,1.5282108607401306,93.95973154362416,1.3264451270594806,False,False,Not screen-positive in either version
ISL,Iceland,EURO,High income,891.0,1457.0,0.6352413019079686,43.624161073825505,1.3726835964310227,1050.0,1648.0,0.5695238095238095,41.61073825503356,1.2135922330097086,False,False,Not screen-positive in either version
ISR,Israel,EURO,High income,14638.0,25442.0,0.7380789725372319,47.651006711409394,1.532898357047402,14963.0,24223.0,0.6188598543072913,44.29530201342282,1.6100400445857244,False,False,Not screen-positive in either version
ITA,Italy,EURO,High income,207364.0,243519.0,0.17435524006095562,14.76510067114094,2.3283604154090645,208457.0,231837.0,0.1121574233534973,14.093959731543624,2.4456838209604164,False,False,Not screen-positive in either version
JAM,Jamaica,PAHO,Upper middle income,4750.0,6811.0,0.4338947368421053,30.87248322147651,0.7341065922771987,4353.0,7054.0,0.620491614978176,44.966442953020135,0.7088176920895946,False,False,Not screen-positive in either version
JOR,Jordan,EMRO,Upper middle income,6122.0,16191.0,1.6447239464227377,85.90604026845638,1.420542276573405,4818.0,14779.0,2.067455375674554,100.0,1.5562622640232762,False,False,Not screen-positive in either version
JPN,Japan,WPRO,High income,446654.0,459821.0,0.029479194186103785,6.7114093959731544,2.144312678194341,467492.0,467792.0,0.0006417222112891,5.369127516778524,2.10777439545781,False,False,Not screen-positive in either version
KAZ,Kazakhstan,EURO,Upper middle income,17368.0,26475.0,0.5243551358820819,34.22818791946309,1.9263456090651558,14445.0,24486.0,0.6951194184839045,50.33557046979866,2.0828228375398186,False,False,Not screen-positive in either version
KGZ,Kyrgyzstan,EURO,Lower middle income,3311.0,6405.0,0.9344608879492601,58.38926174496645,0.156128024980484,4123.0,7923.0,0.9216589861751152,61.07382550335571,0.1262148176195885,False,False,Not screen-positive in either version
KHM,Cambodia,WPRO,Lower middle income,8477.0,18494.0,1.1816680429397193,70.46979865771812,0.1622147723586028,9559.0,17439.0,0.8243540119259337,57.71812080536913,0.1720282126268708,False,False,Not screen-positive in either version
KOR,"Korea, Republic of",WPRO,High income,94401.0,144688.0,0.5326956282242773,35.57046979865772,1.3131704080504258,98321.0,142315.0,0.4474527313595264,34.899328859060404,1.335066577662228,False,False,Not screen-positive in either version
KWT,Kuwait,EMRO,High income,1990.0,8992.0,3.5185929648241205,100.0,0.556049822064057,2052.0,3693.0,0.7997076023391813,57.04697986577181,1.353912808015164,False,False,Not screen-positive in either version
LAO,Lao People's Democratic Republic,WPRO,Lower middle income,3746.0,8152.0,1.176187933796049,69.79865771812081,0.12266928361138371,3114.0,6091.0,0.9560051380860628,63.08724832214765,0.1641766540797898,False,False,Not screen-positive in either version
