country_iso3,country,who_region,income_label,gco2022_selected_cases_2025,gco2022_selected_cases_2050,gco2022_selected_growth_2025_2050,gco2022_common_year_growth_percentile,gco2022_mv_per_1000_selected_cases_2050,gco2024_selected_cases_2025,gco2024_selected_cases_2050,gco2024_selected_growth_2025_2050,gco2024_common_year_growth_percentile,gco2024_mv_per_1000_selected_cases_2050,gco2022_common_year_screen_positive,gco2024_common_year_screen_positive,common_year_burden_version_transition
HND,Honduras,PAHO,Lower middle income,4990.0,11494.0,1.3034068136272545,81.20805369127517,0.8700191404210893,4884,11397,1.3335380835380835,87.24832214765101,0.8774238834781083,False,False,Not screen-positive in either version
HRV,Croatia,EURO,High income,14098.0,14540.0,0.031351964817704636,6.7114093959731544,2.4759284731774414,13267,13187,-0.006029999246250094,4.697986577181208,2.729961325547888,False,False,Not screen-positive in either version
HUN,Hungary,EURO,High income,35397.0,39282.0,0.1097550639884736,10.06711409395973,1.3746754238582557,34163,36384,0.06501185493077306,10.738255033557047,1.4841688654353562,False,False,Not screen-positive in either version
IDN,Indonesia,SEARO,Lower middle income,222220.0,344756.0,0.5514175141751417,42.95302013422819,0.2523523883558227,258879,420646,0.6248749415750215,47.651006711409394,0.2068247409936146,False,False,Not screen-positive in either version
IND,India,SEARO,Lower middle income,893413.0,1576351.0,0.7644146660055317,56.375838926174495,0.5017917963702246,947389,1685904,0.7795266780593821,58.38926174496645,0.46918448500033216,False,False,Not screen-positive in either version
IRL,Ireland,EURO,High income,15714.0,23648.0,0.5049000890925289,41.61073825503356,1.6914749661705006,14667,21463,0.4633531056112361,38.25503355704698,1.8636723663979873,False,False,Not screen-positive in either version
IRN,"Iran, Islamic Republic of",EMRO,Lower middle income,68682.0,135670.0,0.9753356046708017,69.12751677852349,0.8992408048942286,72265,147049,1.034857814986508,71.81208053691275,0.8296554209821216,False,False,Not screen-positive in either version
IRQ,Iraq,EMRO,Upper middle income,21438.0,52043.0,1.427605187051031,88.59060402684564,1.0952481601752397,17683,42972,1.4301306339422044,93.95973154362416,1.3264451270594806,False,False,Not screen-positive in either version
ISL,Iceland,EURO,High income,973.0,1457.0,0.49743062692702983,40.26845637583892,1.3726835964310227,1077,1648,0.5301764159702879,42.281879194630875,1.2135922330097086,False,False,Not screen-positive in either version
ISR,Israel,EURO,High income,15314.0,25442.0,0.6613556223063863,48.322147651006716,1.532898357047402,15290,24223,0.5842380640941792,44.966442953020135,1.6100400445857244,False,False,Not screen-positive in either version
ITA,Italy,EURO,High income,211189.0,243519.0,0.1530856247247726,16.10738255033557,2.3283604154090645,210678,231837,0.10043288810412099,14.093959731543624,2.4456838209604164,False,False,Not screen-positive in either version
JAM,Jamaica,PAHO,Upper middle income,4348.0,6811.0,0.5664673413063478,43.624161073825505,0.7341065922771987,4460,7054,0.5816143497757847,44.29530201342282,0.7088176920895946,False,False,Not screen-positive in either version
JOR,Jordan,EMRO,Upper middle income,7151.0,16191.0,1.264158858900853,80.53691275167785,1.420542276573405,4988,14779,1.9629109863672816,100.0,1.5562622640232762,False,False,Not screen-positive in either version
JPN,Japan,WPRO,High income,459736.0,459821.0,0.00018488871874293073,4.026845637583892,2.144312678194341,469364,467792,-0.003349212977561125,5.369127516778524,2.10777439545781,False,False,Not screen-positive in either version
KAZ,Kazakhstan,EURO,Upper middle income,18135.0,26475.0,0.4598842018196857,38.25503355704698,1.9263456090651558,14868,24486,0.6468926553672316,49.664429530201346,2.0828228375398186,False,False,Not screen-positive in either version
KGZ,Kyrgyzstan,EURO,Lower middle income,3326.0,6405.0,0.9257366205652435,66.44295302013423,0.156128024980484,4268,7923,0.8563730084348641,60.40268456375839,0.12621481761958853,False,False,Not screen-positive in either version
KHM,Cambodia,WPRO,Lower middle income,10138.0,18494.0,0.8242256855395541,57.71812080536913,0.1622147723586028,9832,17439,0.7736981285598047,57.71812080536913,0.17202821262687082,False,False,Not screen-positive in either version
KOR,"Korea, Republic of",WPRO,High income,103624.0,144688.0,0.3962788543194627,33.557046979865774,1.3131704080504258,101084,142315,0.4078884887816074,34.899328859060404,1.3350665776622281,False,False,Not screen-positive in either version
KWT,Kuwait,EMRO,High income,2760.0,8992.0,2.2579710144927536,99.32885906040269,0.556049822064057,2114,3693,0.7469252601702933,57.04697986577181,1.353912808015164,False,False,Not screen-positive in either version
LAO,Lao People's Democratic Republic,WPRO,Lower middle income,4148.0,8152.0,0.9652844744455159,68.45637583892618,0.12266928361138371,3211,6091,0.8969168483338524,63.08724832214765,0.16417665407978985,False,False,Not screen-positive in either version
LBN,Lebanon,EMRO,Upper middle income,6089.0,8222.0,0.3503038265725078,30.87248322147651,1.9459985405010947,9882,15720,0.5907710989678203,45.63758389261745,1.0178117048346056,False,False,Not screen-positive in either version
LBY,Libya,EMRO,Upper middle income,4344.0,9589.0,1.207412523020258,77.18120805369128,1.1471477734904578,4111,9464,1.302116273412795,83.22147651006712,1.1622992392223161,False,False,Not screen-positive in either version
LKA,Sri Lanka,SEARO,Lower middle income,18211.0,25978.0,0.42650046675086484,36.91275167785235,1.1163292016321502,22809,32834,0.4395194879214345,36.241610738255034,0.8832307973442164,False,False,Not screen-positive in either version
LTU,Lithuania,EURO,High income,9449.0,9074.0,-0.03968673933749603,3.3557046979865772,1.763279700242451,9045,9493,0.04953012714206744,8.724832214765101,1.685452438638997,False,False,Not screen-positive in either version
LUX,Luxembourg,EURO,High income,1847.0,3219.0,0.7428262046561992,53.691275167785236,1.2426219322771046,1581,2638,0.6685641998734978,51.006711409395976,1.5163002274450341,False,False,Not screen-positive in either version
LVA,Latvia,EURO,High income,5970.0,5650.0,-0.05360134003350084,2.013422818791946,2.6548672566371683,5901,5951,0.00847314014573801,6.7114093959731544,2.520584775667955,False,False,Not screen-positive in either version
MAR,Morocco,EMRO,Lower middle income,38578.0,65271.0,0.6919228575872258,50.33557046979866,1.3941873113633927,28577,46953,0.643034608251391,48.99328859060403,1.9381083210870444,False,False,Not screen-positive in either version
MDA,Republic of Moldova,EURO,Upper middle income,5435.0,6096.0,0.12161913523459061,11.409395973154362,0.8202099737532809,5850,5229,-0.10615384615384615,2.013422818791946,0.9562057754828839,False,False,Not screen-positive in either version
MEX,Mexico,PAHO,Upper middle income,101295.0,180720.0,0.7840959573522879,57.04697986577181,1.1952191235059761,98710,168390,0.7059061898490527,53.691275167785236,1.282736504543025,False,False,Not screen-positive in either version
MKD,North Macedonia,EURO,Upper middle income,4351.0,5546.0,0.2746495058607217,24.832214765100673,0.7212405337179949,4362,4639,0.06350298028427327,10.06711409395973,0.8622547962923044,False,False,Not screen-positive in either version
MLT,Malta,EURO,High income,1427.0,2005.0,0.4050455501051156,34.899328859060404,1.4962593516209477,1412,2006,0.4206798866855524,35.57046979865772,1.4955134596211366,False,False,Not screen-positive in either version
MMR,Myanmar,SEARO,Lower middle income,42083.0,63096.0,0.49932276691300526,40.939597315436245,0.3645239000887536,40451,62219,0.5381325554374429,42.95302013422819,0.36966200035358976,False,False,Not screen-positive in either version
MNE,Montenegro,EURO,Upper middle income,1546.0,1816.0,0.17464424320827943,18.120805369127517,2.202643171806167,1688,1778,0.0533175355450237,9.395973154362416,2.249718785151856,False,False,Not screen-positive in either version
MNG,Mongolia,WPRO,Lower middle income,2033.0,4585.0,1.2552877520905066,79.19463087248322,1.3086150490730644,2326,5332,1.292347377472055,82.5503355704698,1.1252813203300824,False,False,Not screen-positive in either version
MRT,Mauritania,AFRO,Lower middle income,1733.0,4097.0,1.3641084824004617,82.5503355704698,0.9763241396143519,2069,4764,1.3025616239729338,83.89261744966443,0.8396305625524769,False,False,Not screen-positive in either version
MTQ,"France, Martinique",PAHO,,1202.0,1118.0,-0.06988352745424292,0.6711409395973155,2.6833631484794274,1290,1011,-0.21627906976744185,0.6711409395973155,2.9673590504451037,False,False,Not screen-positive in either version
MUS,Mauritius,AFRO,Upper middle income,1642.0,2204.0,0.34226552984165654,29.53020134228188,2.268602540834846,1630,2187,0.34171779141104297,31.543624161073826,2.286236854138089,False,False,Not screen-positive in either version
MYS,Malaysia,WPRO,Upper middle income,28914.0,54421.0,0.8821678079822923,64.42953020134227,1.3046434280884218,28892,57059,0.9749065485255434,67.11409395973155,1.2443260484761387,False,False,Not screen-positive in either version
NAM,Namibia,AFRO,Upper middle income,1852.0,3685.0,0.9897408207343412,69.79865771812081,0.8141112618724559,2216,5107,1.3046028880866427,85.23489932885906,0.5874290189935383,False,False,Not screen-positive in either version
NGA,Nigeria,AFRO,Lower middle income,84809.0,180414.0,1.127297810373899,74.49664429530202,0.09422772068686465,99737,202738,1.0327260695629505,71.14093959731544,0.08385206522704179,False,False,Not screen-positive in either version
NIC,Nicaragua,PAHO,Lower middle income,3979.0,8911.0,1.2395074139230962,78.52348993288591,0.6733251038042868,4108,9461,1.3030671859785783,84.56375838926175,0.6341824331466018,False,False,Not screen-positive in either version
NLD,The Netherlands,EURO,High income,63643.0,73881.0,0.1608660811086844,17.449664429530202,2.084433074809491,60494,73844,0.22068304294640792,22.818791946308725,2.0854774930935487,False,False,Not screen-positive in either version
NOR,Norway,EURO,High income,20375.0,28646.0,0.40593865030674847,35.57046979865772,1.5359910633247225,18932,25760,0.3606592013522079,32.88590604026846,1.7080745341614907,False,False,Not screen-positive in either version
NPL,Nepal,SEARO,Lower middle income,10506.0,19468.0,0.8530363601751381,60.40268456375839,0.6677624820217793,11549,20006,0.7322711923110226,55.033557046979865,0.6498050584824553,False,False,Not screen-positive in either version
NZL,New Zealand,WPRO,High income,14406.0,20235.0,0.40462307371928363,34.22818791946309,1.729676303434643,14109,19034,0.34906797079878094,32.21476510067114,1.8388147525480718,False,False,Not screen-positive in either version
OMN,Oman,EMRO,High income,1489.0,4058.0,1.725319006044325,95.30201342281879,1.7249876786594383,1586,3338,1.1046658259773015,74.49664429530202,2.097064110245656,False,False,Not screen-positive in either version
PAK,Pakistan,EMRO,Lower middle income,101479.0,204920.0,1.0193340494092373,71.81208053691275,0.40991606480577786,106783,212338,0.9885000421415394,67.78523489932886,0.3955957011933804,False,False,Not screen-positive in either version
PAN,Panama,PAHO,Upper middle income,4374.0,8395.0,0.9192958390489254,65.77181208053692,1.429422275163788,4696,10973,1.3366695059625213,87.91946308724832,1.0935933655335823,False,False,Not screen-positive in either version
PER,Peru,PAHO,Upper middle income,29443.0,54556.0,0.852936181774955,59.73154362416108,1.2464256910330669,31963,59380,0.8577730500891656,61.07382550335571,1.1451667228022904,False,False,Not screen-positive in either version
PHL,Philippines,WPRO,Lower middle income,102697.0,199456.0,0.9421794210152196,67.11409395973155,0.39607733033852077,79433,158036,0.9895509423035767,68.45637583892618,0.4998861019008327,False,False,Not screen-positive in either version
POL,Poland,EURO,High income,121887.0,150451.0,0.23434820776620968,22.818791946308725,1.149876039374946,113020,134356,0.1887807467704831,20.80536912751678,1.287623924499092,False,False,Not screen-positive in either version
PRI,Puerto Rico,PAHO,High income,8944.0,9085.0,0.015764758497316636,4.697986577181208,2.201430930104568,8369,8170,-0.023778229179113396,4.026845637583892,2.4479804161566707,False,False,Not screen-positive in either version
PRK,Democratic People's Republic of Korea,SEARO,Low income,34919.0,47270.0,0.3537042870643489,31.543624161073826,0.04231013327691982,33515,44118,0.31636580635536327,29.53020134228188,0.04533297066956798,False,False,Not screen-positive in either version
